RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer,Offense_cat
29,Assault Intimidation,202500023358,100.0,W MARKET ST,CPD,2025/07/06 09:14:00+00,514,"Phillips, Nicole",Assault & Violent Crime
30,Weapons Violations,202500023331,1900.0,"CEDAR HILL RD, B",CPD,2025/07/06 03:32:52+00,2332,"Pinkman, Jackson",Weapon Offenses
31,Larceny - From Motor Vehicle,202580000103,300.0,15TH ST NW,CPD,2025/07/06 00:47:07+00,2047,"Pendleton, Eric",Theft & Larceny
32,Sex Offense - Forcible Rape,202500023292,500.0,"S 1ST ST, 213",CPD,2025/07/05 22:40:10+00,1840,"Benbow, Lauren",Assault & Violent Crime
33,Lost/FoundProperty,202500023286,,<UNKNOWN>,CPD,2025/07/05 21:54:51+00,1754,"Ritter, Kobe",Other
34,Drug Equipment Violation,202500023266,1300.0,CARLTON AVE,CPD,2025/07/05 17:53:36+00,1353,"O'Briant, Landon",Narcotics/Drug Offenses
35,Assault Intimidation,202500023265,600.0,"MASON ST, A1",CPD,2025/07/05 17:29:53+00,1329,"Eckenroth, Rachel",Assault & Violent Crime
36,Assist Citizen - Mental/TDO/ECO,202500023251,2000.0,MEADOWBROOK RD,CPD,2025/07/05 14:25:02+00,1025,"Schwartz, Honora",Mental Health/Welfare
37,Hit and Run,202500023237,,RAMP @ EMMET ST,CPD,2025/07/05 12:16:14+00,816,"Prevost, Payten",Motor Vehicle/Traffic
38,Shots Fired/Illegal Hunting,202500023227,700.0,ORANGEDALE AVE,CPD,2025/07/05 07:50:44+00,350,"Aguilera, Natalia",Weapon Offenses
39,Assault Aggravated,202500023203,700.0,ORANGEDALE AVE,CPD,2025/07/05 03:23:21+00,2323,"Troche, Nicholas",Assault & Violent Crime
40,Assault Aggravated,202500023187,300.0,RIVERSIDE AVE,CPD,2025/07/05 01:59:14+00,2159,"Ritter, Kobe",Assault & Violent Crime
41,Disorderly Conduct,202500023162,1000.0,PRESTON AVE,CPD,2025/07/04 23:57:33+00,1957,"Hudson, Jesse",Public Order/Disorderly
42,Larceny - All Other,202500023147,1000.0,"E MARKET ST, 1-6",CPD,2025/07/04 21:56:28+00,1756,"Bentz, Benjamin ",Theft & Larceny
43,Vandalism,202500023141,400.0,QUARRY RD,CPD,2025/07/04 21:27:45+00,1727,"Venereo, Arturo",Property Damage
44,Larceny - All Other,202500023127,2100.0,"ARLINGTON BLVD, 509",CPD,2025/07/04 19:05:43+00,1505,"Hudson, Jesse",Theft & Larceny
45,Larceny - From Motor Vehicle,202500023126,1000.0,"WERTLAND ST, 404",CPD,2025/07/04 18:13:40+00,1413,"Prevost, Payten",Theft & Larceny
46,Assist Citizen - Mental/TDO/ECO,202500023110,1200.0,CARLTON AVE,CPD,2025/07/04 15:41:22+00,1141,"Turner, Devon",Mental Health/Welfare
47,Drug Investigation,202500023096,,W MARKET ST / 2ND ST NW,CPD,2025/07/04 12:36:41+00,836,"Ryan, Matthew",Narcotics/Drug Offenses
48,Assist Citizen - Mental/TDO/ECO,202500023088,800.0,MONTROSE AVE,CPD,2025/07/04 07:34:50+00,334,"McLeod, Dustin",Mental Health/Welfare
49,Shots Fired/Illegal Hunting,202500023058,2100.0,"MICHIE DR, 106",CPD,2025/07/04 03:35:26+00,2335,"Pinkman, Jackson",Weapon Offenses
50,Assault Simple,202500023044,1300.0,"KNOLL ST, A",CPD,2025/07/04 02:04:04+00,2204,"Troche, Nicholas",Assault & Violent Crime
51,Disorderly Conduct,202500023041,1400.0,SHORT 18TH ST,CPD,2025/07/04 01:24:00+00,2124,"Rigsby, Lloyd",Public Order/Disorderly
52,Larceny - Shoplifitng,202500023030,200.0,E MAIN ST,CPD,2025/07/04 00:13:09+00,2013,"Abdelgayed, Adam",Theft & Larceny
53,Hit and Run,202500023009,1200.0,EMMET ST N,CPD,2025/07/03 20:43:41+00,1643,"Rigsby, Lloyd",Motor Vehicle/Traffic
54,Warrant Service,202500023007,600.0,E MARKET ST,CPD,2025/07/03 20:19:00+00,1619,"Hudson, Jesse",Other
55,Drug Investigation,202500023000,400.0,E MAIN ST,CPD,2025/07/03 19:40:22+00,1540,"Ryan, Matthew",Narcotics/Drug Offenses
56,Assault Simple,202500022999,500.0,1ST ST S,CPD,2025/07/03 19:26:19+00,1526,"Eckenroth, Rachel",Assault & Violent Crime
57,Larceny - From Motor Vehicle,202500023005,300.0,"15TH ST NW, 5026",CPD,2025/07/03 19:01:51+00,1501,"Rigsby, Lloyd",Theft & Larceny
58,Sex Offense,202500022991,100.0,W MAIN ST,CPD,2025/07/03 18:42:39+00,1442,"Ryan, Matthew",Assault & Violent Crime
59,Lost/FoundProperty,202500022977,1000.0,EMMET ST N,CPD,2025/07/03 16:34:45+00,1234,"Schwartz, Honora",Other
60,Animal Complaint,202500022972,600.0,E MARKET ST,CPD,2025/07/03 16:03:29+00,1203,"Carelsen, Louise",Other
61,Accident - w/out Injuries,202500022951,400.0,RIDGE MCINTIRE RD,CPD,2025/07/03 13:55:03+00,955,"Troche, Nicholas",Motor Vehicle/Traffic
62,Narcotics,202500022894,900.0,"PRESTON AVE, A",CPD,2025/07/03 00:52:41+00,2052,"Darby, Michael",Narcotics/Drug Offenses
63,Assist Citizen - Mental/TDO/ECO,202500022877,900.0,BELMONT AVE,CPD,2025/07/02 21:06:18+00,1706,"Reed, Danielle",Mental Health/Welfare
64,Suspicious Activity,202500022867,2200.0,GREENBRIER DR,CPD,2025/07/02 19:27:03+00,1527,"Houchens, Jamell",Other
65,Weapons Violations,202500022831,400.0,RIDGE MCINTIRE RD,CPD,2025/07/02 13:48:19+00,948,"Lowry, Ryan",Weapon Offenses
66,Disorderly Conduct,202500022828,400.0,250 BYPASS,CPD,2025/07/02 13:26:00+00,926,"Love-Baker, Sydney",Public Order/Disorderly
67,Larceny - From Motor Vehicle,202500022818,2000.0,"HOLIDAY DR, 359",CPD,2025/07/02 11:36:06+00,736,"Love-Baker, Sydney",Theft & Larceny
68,Vandalism,202500022808,1300.0,RIVERDALE DR,CPD,2025/07/02 09:56:15+00,556,"Anderson, Kristopher",Property Damage
69,Assault Aggravated,202500022797,1900.0,EMMET ST N,CPD,2025/07/02 04:32:31+00,32,"Wells, Matthew",Assault & Violent Crime
70,Larceny - From Motor Vehicle,202500022761,100.0,LANKFORD AVE,CPD,2025/07/01 22:26:43+00,1826,"Hudson, Jesse",Theft & Larceny
71,Larceny - Shoplifitng,202500022755,1100.0,5TH ST SW,CPD,2025/07/01 21:24:08+00,1724,"Bland, Johnnà",Theft & Larceny
72,Embezzelment,202500022740,500.0,HARRIS RD,CPD,2025/07/01 19:50:36+00,1550,"Lowe, Courteny",Other
73,Assault Simple,202500022739,700.0,STONEHENGE AVE,CPD,2025/07/01 19:46:01+00,1546,"Hudson, Jesse",Assault & Violent Crime
74,Assault Simple,202500022734,2500.0,WILLARD DR,CPD,2025/07/01 19:23:06+00,1523,"Lowry, Ryan",Assault & Violent Crime
75,Lost/FoundProperty,202500022733,600.0,E MARKET ST,CPD,2025/07/01 19:01:23+00,1501,"Houchens, Jamell",Other
76,Hit and Run,202500022728,1100.0,EMMET ST N,CPD,2025/07/01 18:20:42+00,1420,"Love-Baker, Sydney",Motor Vehicle/Traffic
77,Misc - Criminal Call,202500022727,1200.0,HOLMES AVE,CPD,2025/07/01 18:14:18+00,1414,"Love-Baker, Sydney",Other
78,Larceny - All Other,202500022725,100.0,W MARKET ST,CPD,2025/07/01 18:05:13+00,1405,"O'Briant, Landon",Theft & Larceny
79,Assault Intimidation,202500022722,700.0,E MAIN ST,CPD,2025/07/01 17:53:51+00,1353,"Ryan, Matthew",Assault & Violent Crime
80,Fraud-impersonation,202500022710,1600.0,HARDWOOD AVE,CPD,2025/07/01 15:56:49+00,1156,"Mian, Ghulam",Fraud & Financial
81,Fraud-impersonation,202500022699,2000.0,MINOR RD,CPD,2025/07/01 15:02:01+00,1102,"Ryan, Matthew",Fraud & Financial
82,Sex Offense - Forcible Sodomy,202500022687,100.0,7TH ST NE,CPD,2025/07/01 14:02:40+00,1002,"Shiflett, Tammy",Assault & Violent Crime
83,Vandalism,202500022684,1200.0,CEDARS CT,CPD,2025/07/01 13:46:10+00,946,"Love-Baker, Sydney",Property Damage
84,Suspicious Activity,202500022678,700.0,RIDGE ST,CPD,2025/07/01 13:11:16+00,911,"Lowry, Ryan",Other
85,Assault Simple,202500022665,2100.0,IVY RD,CPD,2025/07/01 11:07:14+00,707,"Anderson, Kristopher",Assault & Violent Crime
86,Larceny - From Motor Vehicle,202500022660,1800.0,EMMET ST N,CPD,2025/07/01 10:24:18+00,624,"Verdin, Alejandra",Theft & Larceny
87,Larceny - From Motor Vehicle,202500022658,2000.0,INDIA RD,CPD,2025/07/01 09:58:27+00,558,"Anderson, Kristopher",Theft & Larceny
88,Larceny - From Motor Vehicle,202500022654,1800.0,EMMET ST N,CPD,2025/07/01 09:37:22+00,537,"Anderson, Kristopher",Theft & Larceny
89,Assist Citizen - Mental/TDO/ECO,202500022628,100.0,E JEFFERSON ST,CPD,2025/07/01 02:48:32+00,2248,"Crowley, Raeann",Mental Health/Welfare
90,Larceny - Theft from Building,202500022611,500.0,"HARRIS RD, 150",CPD,2025/06/30 21:20:10+00,1720,"Benbow, Lauren",Theft & Larceny
91,Domestic Disturbance,202500022610,1800.0,EMMET ST N,CPD,2025/06/30 21:15:14+00,1715,"Curry, Brian",Public Order/Disorderly
92,Assist Citizen - Mental/TDO/ECO,202500022606,1000.0,FOREST HILLS AVE,CPD,2025/06/30 20:58:15+00,1658,"Vlasis, Christopher",Mental Health/Welfare
93,Missing Person-adult,202500022581,600.0,E MARKET ST,CPD,2025/06/30 17:51:57+00,1351,"Kirby, Tyree",Mental Health/Welfare
94,Hit and Run,202500022568,600.0,E HIGH ST,CPD,2025/06/30 16:34:05+00,1234,"Mian, Ghulam",Motor Vehicle/Traffic
95,Larceny - Shoplifitng,202500022564,800.0,E MARKET ST,CPD,2025/06/30 15:54:56+00,1154,"O'Briant, Landon",Theft & Larceny
96,Assist Citizen - Mental/TDO/ECO,202500022561,1300.0,"CARLTON AVE, 207",CPD,2025/06/30 15:31:42+00,1131,"Lucas, Todd",Mental Health/Welfare
97,Assist Citizen - Mental/TDO/ECO,202500022554,2000.0,MORTON DR,CPD,2025/06/30 14:36:40+00,1036,"Shiflett, Tammy",Mental Health/Welfare
98,Domestic Disturbance,202500022552,100.0,"MIDDLESEX DR, B",CPD,2025/06/30 14:32:37+00,1032,"Mian, Ghulam",Public Order/Disorderly
99,Larceny - All Other,202500022539,100.0,E MAIN ST,CPD,2025/06/30 13:10:02+00,910,"Ryan, Matthew",Theft & Larceny
100,Assist Agency - Arrest/warrant,202500022535,700.0,PROSPECT AVE,CPD,2025/06/30 13:06:24+00,906,"Stein, Nathan",Other
101,Hit and Run,202500022523,,<UNKNOWN>,CPD,2025/06/30 10:51:32+00,651,"Oakes, Maithe",Motor Vehicle/Traffic
102,Traffic Stops,202500022518,,SEMINOLE @ HYDRAULIC RD,CPD,2025/06/30 05:19:50+00,119,"Anderson, Kristopher",Motor Vehicle/Traffic
103,Assault Simple,202500022513,200.0,W MAIN ST,CPD,2025/06/30 04:03:09+00,3,"Carrasco, Julio",Assault & Violent Crime
104,Shots Fired/Illegal Hunting,202500022498,,OAK ST / 5TH ST SW,CPD,2025/06/30 02:11:46+00,2211,"Abdelgayed, Adam",Weapon Offenses
105,Assault Simple,202500022496,2100.0,"MICHIE DR, 47A",CPD,2025/06/30 01:43:46+00,2143,"Vlasis, Christopher",Assault & Violent Crime
106,Runaway,202500022491,500.0,PARK ST,CPD,2025/06/30 00:38:23+00,2038,"Carrasco, Julio",Mental Health/Welfare
107,Vandalism,202500022472,800.0,ORANGEDALE AVE,CPD,2025/06/29 22:26:10+00,1826,"Rigsby, Lloyd",Property Damage
108,Harassment,202500022455,800.0,DRUID AVE,CPD,2025/06/29 20:44:45+00,1644,"Curry, Brian",Assault & Violent Crime
109,Assault Simple,202500022452,100.0,BRANDYWINE CT,CPD,2025/06/29 19:51:03+00,1551,"Benbow, Lauren",Assault & Violent Crime
110,Vandalism,202500022448,800.0,"HARDY DR, D",CPD,2025/06/29 18:14:44+00,1414,"O'Briant, Landon",Property Damage
111,Assault Simple,202500022444,700.0,"PROSPECT AVE, F",CPD,2025/06/29 17:05:36+00,1305,"Lowry, Ryan",Assault & Violent Crime
112,Assault Simple,202500022393,300.0,RIVERSIDE AVE,CPD,2025/06/29 04:02:42+00,2,"Anderson, Kristopher",Assault & Violent Crime
113,Assist Citizen - Mental/TDO/ECO,202500022361,1600.0,EMMET ST N,CPD,2025/06/28 23:58:59+00,1958,"Carrasco, Julio",Mental Health/Welfare
114,Assist Citizen - Mental/TDO/ECO,202500022335,1800.0,"JEFFERSON PARK AVE, 21",CPD,2025/06/28 19:40:22+00,1540,"Ritter, Kobe",Mental Health/Welfare
115,Hit and Run,202500022312,500.0,"CLEVELAND AVE, B",CPD,2025/06/28 15:00:10+00,1100,"Ritter, Kobe",Motor Vehicle/Traffic
116,Vandalism,202500022307,500.0,14TH ST NW,CPD,2025/06/28 14:02:37+00,1002,"Mian, Ghulam",Property Damage
117,Larceny - Theft from Building,202580000102,700.0,WALKER SQ,CPD,2025/06/28 13:51:39+00,951,"Miller, Tiffany ",Theft & Larceny
118,Larceny - From Motor Vehicle,202500022309,200.0,HARTMANS MILL RD,CPD,2025/06/28 13:48:15+00,948,"Schwartz, Honora",Theft & Larceny
119,Hit and Run,202500022302,600.0,E HIGH ST,CPD,2025/06/28 12:48:26+00,848,"Mian, Ghulam",Motor Vehicle/Traffic
120,Larceny - All Other,202500022301,100.0,ROBERTSON AVE,CPD,2025/06/28 12:12:32+00,812,"Schwartz, Honora",Theft & Larceny
121,Assault Simple,202500022289,300.0,E MAIN ST,CPD,2025/06/28 05:53:48+00,153,"Reed, Danielle",Assault & Violent Crime
122,Assault Simple,202500022284,1000.0,ALTAVISTA AVE,CPD,2025/06/28 05:06:38+00,106,"Phillips, Nicole",Assault & Violent Crime
123,Death Investigation - DOA,202500022274,400.0,RIVERSIDE AVE,CPD,2025/06/28 03:46:18+00,2346,"Wells, Matthew",Other
124,Warrant Service,202500022253,700.0,PROSPECT AVE,CPD,2025/06/28 00:11:30+00,2011,"Vlasis, Christopher",Other
125,Hit and Run,202500022251,500.0,E MARKET ST,CPD,2025/06/28 00:00:36+00,2000,"Shiflett, Ethan ",Motor Vehicle/Traffic
126,Hit and Run,202500022244,200.0,E MARKET ST,CPD,2025/06/27 23:08:16+00,1908,"Bentz, Benjamin ",Motor Vehicle/Traffic
127,Assist Citizen - Mental/TDO/ECO,202500022241,1100.0,5TH ST SW,CPD,2025/06/27 22:39:31+00,1839,"Vlasis, Christopher",Mental Health/Welfare
128,Fraud-wire fraud,202500022237,200.0,9TH ST NE,CPD,2025/06/27 22:38:23+00,1838,"Venereo, Arturo",Fraud & Financial
129,Larceny - From Motor Vehicle,202500022214,300.0,MEADE AVE,CPD,2025/06/27 19:45:00+00,1545,"Burnett, James",Theft & Larceny
130,Larceny - Shoplifitng,202500022215,1100.0,5TH ST SW,CPD,2025/06/27 19:43:59+00,1543,"Vlasis, Christopher",Theft & Larceny
131,Hit and Run,202500022208,1700.0,JEFFERSON PARK AVE,CPD,2025/06/27 19:13:03+00,1513,"Vlasis, Christopher",Motor Vehicle/Traffic
132,Assist Citizen - Mental/TDO/ECO,202500022184,800.0,PRESTON AVE,CPD,2025/06/27 15:54:42+00,1154,"Shiflett, Tammy",Mental Health/Welfare
133,Suspicious Activity,202500022169,500.0,PARK ST,CPD,2025/06/27 14:02:23+00,1002,"Houchens, Logan",Other
134,Assault Simple,202500022145,100.0,W MARKET ST,CPD,2025/06/27 09:39:15+00,539,"McLeod, Dustin",Assault & Violent Crime
135,Larceny - Shoplifitng,202500022134,2100.0,BARRACKS RD,CPD,2025/06/27 05:56:18+00,156,"Pinkman, Jackson",Theft & Larceny
136,Warrant Service,202500022118,600.0,E MARKET ST,CPD,2025/06/27 03:31:55+00,2331,"McLeod, Dustin",Other
137,Disorderly Conduct,202500022094,,3RD ST SE / E WATER ST,CPD,2025/06/27 00:08:39+00,2008,"Abdelgayed, Adam",Public Order/Disorderly
138,Misc - Criminal Call,202500022063,800.0,"HARDY DR, D",CPD,2025/06/26 19:15:58+00,1515,"Bentz, Benjamin ",Other
139,Larceny - All Other,202500022057,700.0,MONTICELLO AVE,CPD,2025/06/26 18:36:07+00,1436,"Jones, Mark",Theft & Larceny
140,Suspicious Activity,202500022045,1900.0,CHESAPEAKE ST,CPD,2025/06/26 17:43:37+00,1343,"Prevost, Payten",Other
141,Hit and Run,202500022056,100.0,BROOKWOOD DR,CPD,2025/06/26 17:40:50+00,1340,"Eckenroth, Rachel",Motor Vehicle/Traffic
142,Missing Person-juvenile,202500022043,500.0,ROCKLAND AVE,CPD,2025/06/26 17:37:04+00,1337,"Eckenroth, Rachel",Mental Health/Welfare
143,Accident Property Damage,202500022036,1900.0,BLUE RIDGE RD,CPD,2025/06/26 17:01:10+00,1301,"Prevost, Payten",Property Damage
144,Larceny - Theft from Building,202500022034,1100.0,5TH ST SW,CPD,2025/06/26 16:53:26+00,1253,"Eckenroth, Rachel",Theft & Larceny
145,Larceny - Theft from Building,202500022027,1000.0,W MAIN ST,CPD,2025/06/26 14:52:44+00,1052,"Turner, Devon",Theft & Larceny
146,Suspicious Activity,202500022010,400.0,GARRETT ST,CPD,2025/06/26 12:38:31+00,838,"Jones, Mark",Other
147,Lost/FoundProperty,202500022016,100.0,DENICE LN,CPD,2025/06/26 11:01:11+00,701,"Prevost, Payten",Other
148,Assist Citizen - Mental/TDO/ECO,202500021974,100.0,"FRANKLIN ST, B",CPD,2025/06/26 03:54:38+00,2354,"Pinkman, Jackson",Mental Health/Welfare
149,Larceny - Shoplifitng,202500021960,200.0,E MAIN ST,CPD,2025/06/26 01:17:27+00,2117,"Bentz, Benjamin ",Theft & Larceny
150,Larceny - All Other,202500021952,200.0,E MAIN ST,CPD,2025/06/26 00:06:41+00,2006,"Bentz, Benjamin ",Theft & Larceny
151,Vandalism,202580000101,600.0,RUGBY RD,CPD,2025/06/25 23:50:47+00,1950,"Miller, Tiffany ",Property Damage
152,Robbery - Strong Arm,202500021935,,OAK ST / OAKMONT ST,CPD,2025/06/25 21:15:59+00,1715,"Reed, Danielle",Assault & Violent Crime
153,Hit and Run,202500021927,1000.0,"WERTLAND ST, 2A",CPD,2025/06/25 19:59:03+00,1559,"Bentz, Benjamin ",Motor Vehicle/Traffic
154,Lost/FoundProperty,202500021912,600.0,E MARKET ST,CPD,2025/06/25 17:34:03+00,1334,"Newcomer, Annmarie",Other
155,Pornography,202500021906,300.0,OLD LYNCHBURG RD,CPD,2025/06/25 16:30:51+00,1230,"Bowers, Justin",Other
156,Forgery/Counterfeiting,202500021903,400.0,RIDGE MCINTIRE RD,CPD,2025/06/25 15:51:30+00,1151,"Nash, Darius",Fraud & Financial
157,Larceny - All Other,202500021899,1000.0,"RIDGE ST, 10",CPD,2025/06/25 15:18:05+00,1118,"Turner, Devon",Theft & Larceny
158,Assault Simple,202500021895,1900.0,"JEFFERSON PARK AVE, 27",CPD,2025/06/25 14:49:12+00,1049,"Eckenroth, Rachel",Assault & Violent Crime
159,Larceny - All Other,202580000100,400.0,"VALLEY RD EXT, B",CPD,2025/06/25 14:24:43+00,1024,"Miller, Tiffany ",Theft & Larceny
160,Assist Citizen - Mental/TDO/ECO,202500021846,500.0,"HARRIS RD, 156",CPD,2025/06/25 05:23:15+00,123,"Verdin, Alejandra",Mental Health/Welfare
161,Assault Simple,202500021847,2300.0,ANGUS RD,CPD,2025/06/25 05:18:18+00,118,"Pinkman, Jackson",Assault & Violent Crime
162,Death Investigation - DOA,202500021844,100.0,NORTH BAKER ST,CPD,2025/06/25 04:52:19+00,52,"Keplinger, Christopher",Other
163,Drug Investigation,202500021841,1100.0,5TH ST SW,CPD,2025/06/25 04:15:48+00,15,"Stein, Nathan",Narcotics/Drug Offenses
164,Drug Investigation,202500021836,200.0,RIDGE MCINTIRE RD,CPD,2025/06/25 02:37:19+00,2237,"Stein, Nathan",Narcotics/Drug Offenses
165,Assist Citizen - Mental/TDO/ECO,202500021815,300.0,CAMELIA DR,CPD,2025/06/24 21:43:23+00,1743,"Shiflett, Tammy",Mental Health/Welfare
166,Hit and Run,202500021814,1000.0,PRESTON AVE,CPD,2025/06/24 21:36:53+00,1736,"Crowley, Raeann",Motor Vehicle/Traffic
167,Hit and Run,202500021800,2000.0,JEFFERSON PARK AVE,CPD,2025/06/24 20:07:49+00,1607,"Vlasis, Christopher",Motor Vehicle/Traffic
168,Fraud-false pretense,202580000099,200.0,CARLTON RD,CPD,2025/06/24 19:45:21+00,1545,"Miller, Tiffany ",Fraud & Financial
169,Drug Investigation,202500021795,200.0,CARLTON RD,CPD,2025/06/24 19:04:00+00,1504,"Mian, Ghulam",Narcotics/Drug Offenses
170,Suspicious Activity,202500021793,600.0,E MARKET ST,CPD,2025/06/24 18:25:43+00,1425,"Ryan, Matthew",Other
171,Burglary,202500021792,2100.0,"MICHIE DR, 35B",CPD,2025/06/24 18:11:29+00,1411,"Ryan, Matthew",Theft & Larceny
172,Disorderly Conduct,202500021782,200.0,RIDGE ST,CPD,2025/06/24 16:43:10+00,1243,"Love-Baker, Sydney",Public Order/Disorderly
173,Hit and Run,202500021765,3800.0,-78.5059997410000000,CPD,2025/06/24 14:07:07+00,1007,"Lowry, Ryan",Motor Vehicle/Traffic
174,Suspicious Activity,202500021755,600.0,E MARKET ST,CPD,2025/06/24 13:20:08+00,920,"Ryan, Matthew",Other
175,Assault Simple,202500021719,100.0,W MARKET ST,CPD,2025/06/24 05:04:32+00,104,"Oakes, Maithe",Assault & Violent Crime
176,Misc - Criminal Call,202500021704,100.0,W MAIN ST,CPD,2025/06/24 02:42:27+00,2242,"Troche, Nicholas",Other
177,Vandalism,202500021698,100.0,"PIEDMONT AVE S, B",CPD,2025/06/24 01:25:25+00,2125,"Essex, Dominique",Property Damage
178,Trespass,202500021683,1100.0,5TH ST SW,CPD,2025/06/23 23:42:48+00,1942,"Essex, Dominique",Public Order/Disorderly
179,Trespass,202500021678,1100.0,5TH ST SW,CPD,2025/06/23 22:50:31+00,1850,"Crowley, Raeann",Public Order/Disorderly
180,Misc - Criminal Call,202500021657,800.0,ST CLAIR AVE,CPD,2025/06/23 20:37:21+00,1637,"Bland, Johnnà",Other
181,Larceny - Shoplifitng,202500021656,1100.0,5TH ST SW,CPD,2025/06/23 20:36:09+00,1636,"Lowry, Ryan",Theft & Larceny
182,Vandalism,202500021652,300.0,"2ND ST SE, 100",CPD,2025/06/23 20:09:01+00,1609,"Essex, Dominique",Property Damage
183,Assist Citizen - Mental/TDO/ECO,202500021650,300.0,CARLTON RD,CPD,2025/06/23 19:32:29+00,1532,"Vlasis, Christopher",Mental Health/Welfare
184,Motor Vehicle Theft,202500021622,200.0,E MARKET ST,CPD,2025/06/23 16:27:11+00,1227,"Moriarty, Thomas",Theft & Larceny
185,Assault Simple,202500021615,600.0,E MARKET ST,CPD,2025/06/23 15:26:55+00,1126,"Kirby, Tyree",Assault & Violent Crime
186,Disorderly Conduct,202500021611,2100.0,"MICHIE DR, 52B",CPD,2025/06/23 15:06:58+00,1106,"Mian, Ghulam",Public Order/Disorderly
187,Motor Vehicle Theft,202500021599,1500.0,WESTWOOD RD,CPD,2025/06/23 13:52:52+00,952,"Mian, Ghulam",Theft & Larceny
